question,choices,correct,type,accuracy
green,"['sugar_bowl_rot_s_10.jpg', 'sugar_bowl_rot_s_8.jpg', 'sugar_bowl_rot_s_6.jpg', 'sugar_bowl_rot_s_4.jpg', 'sugar_bowl_rot_s_2.jpg']","['sugar_bowl_rot_s_4.jpg', 'sugar_bowl_rot_s_2.jpg']",0,1
green,"['controlbox_rot_s_8.jpg', 'controlbox_rot_s_10.jpg', 'controlbox_rot_s_2.jpg', 'controlbox_rot_s_4.jpg', 'controlbox_rot_s_6.jpg']","['controlbox_rot_s_8.jpg', 'controlbox_rot_s_2.jpg']",0,0
blue,"['controlbox_rot_s_8.jpg', 'controlbox_rot_s_10.jpg', 'controlbox_rot_s_2.jpg', 'controlbox_rot_s_4.jpg', 'controlbox_rot_s_6.jpg']",['controlbox_rot_s_10.jpg'],0,0
yellow,"['controlbox_rot_s_8.jpg', 'controlbox_rot_s_10.jpg', 'controlbox_rot_s_2.jpg', 'controlbox_rot_s_4.jpg', 'controlbox_rot_s_6.jpg']",['controlbox_rot_s_2.jpg'],0,0
brown,"['controlbox_rot_s_8.jpg', 'controlbox_rot_s_10.jpg', 'controlbox_rot_s_2.jpg', 'controlbox_rot_s_4.jpg', 'controlbox_rot_s_6.jpg']",['controlbox_rot_s_4.jpg'],0,0
orange,"['controlbox_rot_s_8.jpg', 'controlbox_rot_s_10.jpg', 'controlbox_rot_s_2.jpg', 'controlbox_rot_s_4.jpg', 'controlbox_rot_s_6.jpg']",['controlbox_rot_s_4.jpg'],0,0
purple,"['controlbox_rot_s_8.jpg', 'controlbox_rot_s_10.jpg', 'controlbox_rot_s_2.jpg', 'controlbox_rot_s_4.jpg', 'controlbox_rot_s_6.jpg']",['controlbox_rot_s_6.jpg'],0,1
green,"['gift_box_rot_s_9.jpg', 'gift_box_rot_s_1.jpg', 'gift_box_rot_s_5.jpg', 'gift_box_rot_s_7.jpg']","['gift_box_rot_s_9.jpg', 'gift_box_rot_s_7.jpg']",0,0
red,"['gift_box_rot_s_9.jpg', 'gift_box_rot_s_1.jpg', 'gift_box_rot_s_5.jpg', 'gift_box_rot_s_7.jpg']",['gift_box_rot_s_1.jpg'],0,0
brown,"['gift_box_rot_s_9.jpg', 'gift_box_rot_s_1.jpg', 'gift_box_rot_s_5.jpg', 'gift_box_rot_s_7.jpg']",['gift_box_rot_s_1.jpg'],0,0
blue,"['gift_box_rot_s_9.jpg', 'gift_box_rot_s_1.jpg', 'gift_box_rot_s_5.jpg', 'gift_box_rot_s_7.jpg']",['gift_box_rot_s_5.jpg'],0,1
yellow,"['notecards_rot_s_9.jpg', 'notecards_rot_s_3.jpg', 'notecards_rot_s_1.jpg', 'notecards_rot_s_5.jpg', 'notecards_rot_s_7.jpg']",['notecards_rot_s_9.jpg'],0,0
brown,"['notecards_rot_s_9.jpg', 'notecards_rot_s_3.jpg', 'notecards_rot_s_1.jpg', 'notecards_rot_s_5.jpg', 'notecards_rot_s_7.jpg']",['notecards_rot_s_9.jpg'],0,0
blue,"['notecards_rot_s_9.jpg', 'notecards_rot_s_3.jpg', 'notecards_rot_s_1.jpg', 'notecards_rot_s_5.jpg', 'notecards_rot_s_7.jpg']",['notecards_rot_s_3.jpg'],0,1
purple,"['notecards_rot_s_9.jpg', 'notecards_rot_s_3.jpg', 'notecards_rot_s_1.jpg', 'notecards_rot_s_5.jpg', 'notecards_rot_s_7.jpg']",['notecards_rot_s_1.jpg'],0,0
green,"['notecards_rot_s_9.jpg', 'notecards_rot_s_3.jpg', 'notecards_rot_s_1.jpg', 'notecards_rot_s_5.jpg', 'notecards_rot_s_7.jpg']",['notecards_rot_s_5.jpg'],0,0
red,"['notecards_rot_s_9.jpg', 'notecards_rot_s_3.jpg', 'notecards_rot_s_1.jpg', 'notecards_rot_s_5.jpg', 'notecards_rot_s_7.jpg']",['notecards_rot_s_7.jpg'],0,0
pink,"['notecards_rot_s_9.jpg', 'notecards_rot_s_3.jpg', 'notecards_rot_s_1.jpg', 'notecards_rot_s_5.jpg', 'notecards_rot_s_7.jpg']",['notecards_rot_s_7.jpg'],0,0
red,"['notecards_rot_s_8.jpg', 'notecards_rot_s_10.jpg', 'notecards_rot_s_2.jpg', 'notecards_rot_s_4.jpg', 'notecards_rot_s_6.jpg']",['notecards_rot_s_8.jpg'],0,0
pink,"['notecards_rot_s_8.jpg', 'notecards_rot_s_10.jpg', 'notecards_rot_s_2.jpg', 'notecards_rot_s_4.jpg', 'notecards_rot_s_6.jpg']",['notecards_rot_s_8.jpg'],0,0
yellow,"['notecards_rot_s_8.jpg', 'notecards_rot_s_10.jpg', 'notecards_rot_s_2.jpg', 'notecards_rot_s_4.jpg', 'notecards_rot_s_6.jpg']",['notecards_rot_s_10.jpg'],0,0
brown,"['notecards_rot_s_8.jpg', 'notecards_rot_s_10.jpg', 'notecards_rot_s_2.jpg', 'notecards_rot_s_4.jpg', 'notecards_rot_s_6.jpg']",['notecards_rot_s_10.jpg'],0,0
purple,"['notecards_rot_s_8.jpg', 'notecards_rot_s_10.jpg', 'notecards_rot_s_2.jpg', 'notecards_rot_s_4.jpg', 'notecards_rot_s_6.jpg']",['notecards_rot_s_2.jpg'],0,0
blue,"['notecards_rot_s_8.jpg', 'notecards_rot_s_10.jpg', 'notecards_rot_s_2.jpg', 'notecards_rot_s_4.jpg', 'notecards_rot_s_6.jpg']",['notecards_rot_s_4.jpg'],0,0
green,"['notecards_rot_s_8.jpg', 'notecards_rot_s_10.jpg', 'notecards_rot_s_2.jpg', 'notecards_rot_s_4.jpg', 'notecards_rot_s_6.jpg']",['notecards_rot_s_6.jpg'],0,1
red,"['razor_rot_s_2.jpg', 'razor_rot_s_6.jpg', 'razor_rot_s_10.jpg', 'razor_rot_s_8.jpg']",['razor_rot_s_2.jpg'],0,0
blue,"['razor_rot_s_2.jpg', 'razor_rot_s_6.jpg', 'razor_rot_s_10.jpg', 'razor_rot_s_8.jpg']",['razor_rot_s_6.jpg'],0,0
green,"['razor_rot_s_2.jpg', 'razor_rot_s_6.jpg', 'razor_rot_s_10.jpg', 'razor_rot_s_8.jpg']","['razor_rot_s_10.jpg', 'razor_rot_s_8.jpg']",0,0
yellow,"['razor_rot_s_2.jpg', 'razor_rot_s_6.jpg', 'razor_rot_s_10.jpg', 'razor_rot_s_8.jpg']",['razor_rot_s_8.jpg'],0,1
purple,"['hand_puppet_rot_s_10.jpg', 'hand_puppet_rot_s_8.jpg', 'hand_puppet_rot_s_4.jpg', 'hand_puppet_rot_s_6.jpg', 'hand_puppet_rot_s_2.jpg']",['hand_puppet_rot_s_10.jpg'],0,0
blue,"['hand_puppet_rot_s_10.jpg', 'hand_puppet_rot_s_8.jpg', 'hand_puppet_rot_s_4.jpg', 'hand_puppet_rot_s_6.jpg', 'hand_puppet_rot_s_2.jpg']",['hand_puppet_rot_s_8.jpg'],0,0
yellow,"['hand_puppet_rot_s_10.jpg', 'hand_puppet_rot_s_8.jpg', 'hand_puppet_rot_s_4.jpg', 'hand_puppet_rot_s_6.jpg', 'hand_puppet_rot_s_2.jpg']",['hand_puppet_rot_s_4.jpg'],0,0
green,"['hand_puppet_rot_s_10.jpg', 'hand_puppet_rot_s_8.jpg', 'hand_puppet_rot_s_4.jpg', 'hand_puppet_rot_s_6.jpg', 'hand_puppet_rot_s_2.jpg']","['hand_puppet_rot_s_4.jpg', 'hand_puppet_rot_s_2.jpg']",0,1
pink,"['hand_puppet_rot_s_10.jpg', 'hand_puppet_rot_s_8.jpg', 'hand_puppet_rot_s_4.jpg', 'hand_puppet_rot_s_6.jpg', 'hand_puppet_rot_s_2.jpg']",['hand_puppet_rot_s_6.jpg'],0,1
blue,"['extension_cord_s_8.jpg', 'extension_cord_s_2.jpg', 'extension_cord_s_4.jpg', 'extension_cord_s_6.jpg']",['extension_cord_s_8.jpg'],0,0
green,"['extension_cord_s_8.jpg', 'extension_cord_s_2.jpg', 'extension_cord_s_4.jpg', 'extension_cord_s_6.jpg']","['extension_cord_s_8.jpg', 'extension_cord_s_2.jpg', 'extension_cord_s_4.jpg']",0,1
red,"['extension_cord_s_8.jpg', 'extension_cord_s_2.jpg', 'extension_cord_s_4.jpg', 'extension_cord_s_6.jpg']",['extension_cord_s_6.jpg'],0,1
green,"['gift_box_rot_s_8.jpg', 'gift_box_rot_s_10.jpg', 'gift_box_rot_s_2.jpg', 'gift_box_rot_s_6.jpg']","['gift_box_rot_s_8.jpg', 'gift_box_rot_s_10.jpg']",0,0
red,"['gift_box_rot_s_8.jpg', 'gift_box_rot_s_10.jpg', 'gift_box_rot_s_2.jpg', 'gift_box_rot_s_6.jpg']",['gift_box_rot_s_2.jpg'],0,0
brown,"['gift_box_rot_s_8.jpg', 'gift_box_rot_s_10.jpg', 'gift_box_rot_s_2.jpg', 'gift_box_rot_s_6.jpg']",['gift_box_rot_s_2.jpg'],0,0
blue,"['gift_box_rot_s_8.jpg', 'gift_box_rot_s_10.jpg', 'gift_box_rot_s_2.jpg', 'gift_box_rot_s_6.jpg']",['gift_box_rot_s_6.jpg'],0,0
blue,"['controlbox_rot_s_9.jpg', 'controlbox_rot_s_3.jpg', 'controlbox_rot_s_1.jpg', 'controlbox_rot_s_5.jpg', 'controlbox_rot_s_7.jpg']",['controlbox_rot_s_9.jpg'],0,0
brown,"['controlbox_rot_s_9.jpg', 'controlbox_rot_s_3.jpg', 'controlbox_rot_s_1.jpg', 'controlbox_rot_s_5.jpg', 'controlbox_rot_s_7.jpg']",['controlbox_rot_s_3.jpg'],0,0
orange,"['controlbox_rot_s_9.jpg', 'controlbox_rot_s_3.jpg', 'controlbox_rot_s_1.jpg', 'controlbox_rot_s_5.jpg', 'controlbox_rot_s_7.jpg']",['controlbox_rot_s_3.jpg'],0,0
yellow,"['controlbox_rot_s_9.jpg', 'controlbox_rot_s_3.jpg', 'controlbox_rot_s_1.jpg', 'controlbox_rot_s_5.jpg', 'controlbox_rot_s_7.jpg']",['controlbox_rot_s_1.jpg'],0,0
green,"['controlbox_rot_s_9.jpg', 'controlbox_rot_s_3.jpg', 'controlbox_rot_s_1.jpg', 'controlbox_rot_s_5.jpg', 'controlbox_rot_s_7.jpg']","['controlbox_rot_s_1.jpg', 'controlbox_rot_s_7.jpg']",0,0
purple,"['controlbox_rot_s_9.jpg', 'controlbox_rot_s_3.jpg', 'controlbox_rot_s_1.jpg', 'controlbox_rot_s_5.jpg', 'controlbox_rot_s_7.jpg']",['controlbox_rot_s_5.jpg'],0,0
green,"['fuel_tank_rot_s_2.jpg', 'fuel_tank_rot_s_6.jpg', 'fuel_tank_rot_s_4.jpg', 'fuel_tank_rot_s_10.jpg', 'fuel_tank_rot_s_8.jpg']","['fuel_tank_rot_s_2.jpg', 'fuel_tank_rot_s_4.jpg']",0,1
red,"['fuel_tank_rot_s_2.jpg', 'fuel_tank_rot_s_6.jpg', 'fuel_tank_rot_s_4.jpg', 'fuel_tank_rot_s_10.jpg', 'fuel_tank_rot_s_8.jpg']",['fuel_tank_rot_s_6.jpg'],0,0
pink,"['fuel_tank_rot_s_2.jpg', 'fuel_tank_rot_s_6.jpg', 'fuel_tank_rot_s_4.jpg', 'fuel_tank_rot_s_10.jpg', 'fuel_tank_rot_s_8.jpg']",['fuel_tank_rot_s_6.jpg'],0,0
yellow,"['fuel_tank_rot_s_2.jpg', 'fuel_tank_rot_s_6.jpg', 'fuel_tank_rot_s_4.jpg', 'fuel_tank_rot_s_10.jpg', 'fuel_tank_rot_s_8.jpg']",['fuel_tank_rot_s_4.jpg'],0,1
purple,"['fuel_tank_rot_s_2.jpg', 'fuel_tank_rot_s_6.jpg', 'fuel_tank_rot_s_4.jpg', 'fuel_tank_rot_s_10.jpg', 'fuel_tank_rot_s_8.jpg']",['fuel_tank_rot_s_10.jpg'],0,0
blue,"['fuel_tank_rot_s_2.jpg', 'fuel_tank_rot_s_6.jpg', 'fuel_tank_rot_s_4.jpg', 'fuel_tank_rot_s_10.jpg', 'fuel_tank_rot_s_8.jpg']",['fuel_tank_rot_s_8.jpg'],0,1
blue,"['lotion_rot_s_10.jpg', 'lotion_rot_s_2.jpg', 'lotion_rot_s_6.jpg', 'lotion_rot_s_4.jpg', 'lotion_rot_s_8.jpg']",['lotion_rot_s_10.jpg'],0,0
yellow,"['lotion_rot_s_10.jpg', 'lotion_rot_s_2.jpg', 'lotion_rot_s_6.jpg', 'lotion_rot_s_4.jpg', 'lotion_rot_s_8.jpg']",['lotion_rot_s_2.jpg'],0,1
purple,"['lotion_rot_s_10.jpg', 'lotion_rot_s_2.jpg', 'lotion_rot_s_6.jpg', 'lotion_rot_s_4.jpg', 'lotion_rot_s_8.jpg']",['lotion_rot_s_6.jpg'],0,0
red,"['lotion_rot_s_10.jpg', 'lotion_rot_s_2.jpg', 'lotion_rot_s_6.jpg', 'lotion_rot_s_4.jpg', 'lotion_rot_s_8.jpg']",['lotion_rot_s_4.jpg'],0,0
green,"['lotion_rot_s_10.jpg', 'lotion_rot_s_2.jpg', 'lotion_rot_s_6.jpg', 'lotion_rot_s_4.jpg', 'lotion_rot_s_8.jpg']",['lotion_rot_s_8.jpg'],0,0
purple,"['tape_dispenser_rot_s_2.jpg', 'tape_dispenser_rot_s_10.jpg', 'tape_dispenser_rot_s_6.jpg', 'tape_dispenser_rot_s_8.jpg']",['tape_dispenser_rot_s_2.jpg'],0,1
green,"['tape_dispenser_rot_s_2.jpg', 'tape_dispenser_rot_s_10.jpg', 'tape_dispenser_rot_s_6.jpg', 'tape_dispenser_rot_s_8.jpg']","['tape_dispenser_rot_s_10.jpg', 'tape_dispenser_rot_s_6.jpg']",0,0
brown,"['tape_dispenser_rot_s_2.jpg', 'tape_dispenser_rot_s_10.jpg', 'tape_dispenser_rot_s_6.jpg', 'tape_dispenser_rot_s_8.jpg']",['tape_dispenser_rot_s_8.jpg'],0,0
red,"['usb_key_rot_s_9.jpg', 'usb_key_rot_s_5.jpg', 'usb_key_rot_s_1.jpg', 'usb_key_rot_s_3.jpg']",['usb_key_rot_s_9.jpg'],0,0
yellow,"['usb_key_rot_s_9.jpg', 'usb_key_rot_s_5.jpg', 'usb_key_rot_s_1.jpg', 'usb_key_rot_s_3.jpg']",['usb_key_rot_s_5.jpg'],0,0
green,"['usb_key_rot_s_9.jpg', 'usb_key_rot_s_5.jpg', 'usb_key_rot_s_1.jpg', 'usb_key_rot_s_3.jpg']",['usb_key_rot_s_5.jpg'],0,1
blue,"['usb_key_rot_s_9.jpg', 'usb_key_rot_s_5.jpg', 'usb_key_rot_s_1.jpg', 'usb_key_rot_s_3.jpg']","['usb_key_rot_s_1.jpg', 'usb_key_rot_s_3.jpg']",0,0
green,"['chair_rot_s_8.jpg', 'chair_rot_s_10.jpg', 'chair_rot_s_6.jpg', 'chair_rot_s_4.jpg', 'chair_rot_s_2.jpg']",['chair_rot_s_8.jpg'],0,0
blue,"['chair_rot_s_8.jpg', 'chair_rot_s_10.jpg', 'chair_rot_s_6.jpg', 'chair_rot_s_4.jpg', 'chair_rot_s_2.jpg']",['chair_rot_s_10.jpg'],0,0
purple,"['chair_rot_s_8.jpg', 'chair_rot_s_10.jpg', 'chair_rot_s_6.jpg', 'chair_rot_s_4.jpg', 'chair_rot_s_2.jpg']",['chair_rot_s_6.jpg'],0,1
red,"['chair_rot_s_8.jpg', 'chair_rot_s_10.jpg', 'chair_rot_s_6.jpg', 'chair_rot_s_4.jpg', 'chair_rot_s_2.jpg']",['chair_rot_s_4.jpg'],0,0
orange,"['chair_rot_s_8.jpg', 'chair_rot_s_10.jpg', 'chair_rot_s_6.jpg', 'chair_rot_s_4.jpg', 'chair_rot_s_2.jpg']",['chair_rot_s_4.jpg'],0,0
yellow,"['chair_rot_s_8.jpg', 'chair_rot_s_10.jpg', 'chair_rot_s_6.jpg', 'chair_rot_s_4.jpg', 'chair_rot_s_2.jpg']",['chair_rot_s_2.jpg'],0,0
red,"['watch_rot_s_10.jpg', 'watch_rot_s_6.jpg', 'watch_rot_s_4.jpg', 'watch_rot_s_2.jpg']",['watch_rot_s_10.jpg'],0,0
yellow,"['watch_rot_s_10.jpg', 'watch_rot_s_6.jpg', 'watch_rot_s_4.jpg', 'watch_rot_s_2.jpg']",['watch_rot_s_6.jpg'],0,0
green,"['watch_rot_s_10.jpg', 'watch_rot_s_6.jpg', 'watch_rot_s_4.jpg', 'watch_rot_s_2.jpg']",['watch_rot_s_4.jpg'],0,1
blue,"['watch_rot_s_10.jpg', 'watch_rot_s_6.jpg', 'watch_rot_s_4.jpg', 'watch_rot_s_2.jpg']",['watch_rot_s_2.jpg'],0,0
green,"['kettle_rot_s_8.jpg', 'kettle_rot_s_10.jpg', 'kettle_rot_s_6.jpg', 'kettle_rot_s_4.jpg', 'kettle_rot_s_2.jpg']",['kettle_rot_s_8.jpg'],0,1
blue,"['kettle_rot_s_8.jpg', 'kettle_rot_s_10.jpg', 'kettle_rot_s_6.jpg', 'kettle_rot_s_4.jpg', 'kettle_rot_s_2.jpg']",['kettle_rot_s_10.jpg'],0,0
purple,"['kettle_rot_s_8.jpg', 'kettle_rot_s_10.jpg', 'kettle_rot_s_6.jpg', 'kettle_rot_s_4.jpg', 'kettle_rot_s_2.jpg']",['kettle_rot_s_6.jpg'],0,0
red,"['kettle_rot_s_8.jpg', 'kettle_rot_s_10.jpg', 'kettle_rot_s_6.jpg', 'kettle_rot_s_4.jpg', 'kettle_rot_s_2.jpg']",['kettle_rot_s_4.jpg'],0,0
pink,"['kettle_rot_s_8.jpg', 'kettle_rot_s_10.jpg', 'kettle_rot_s_6.jpg', 'kettle_rot_s_4.jpg', 'kettle_rot_s_2.jpg']",['kettle_rot_s_4.jpg'],0,0
yellow,"['kettle_rot_s_8.jpg', 'kettle_rot_s_10.jpg', 'kettle_rot_s_6.jpg', 'kettle_rot_s_4.jpg', 'kettle_rot_s_2.jpg']",['kettle_rot_s_2.jpg'],0,0
blue,"['kettle_rot_s_9.jpg', 'kettle_rot_s_7.jpg', 'kettle_rot_s_5.jpg', 'kettle_rot_s_1.jpg', 'kettle_rot_s_3.jpg']",['kettle_rot_s_9.jpg'],0,0
green,"['kettle_rot_s_9.jpg', 'kettle_rot_s_7.jpg', 'kettle_rot_s_5.jpg', 'kettle_rot_s_1.jpg', 'kettle_rot_s_3.jpg']",['kettle_rot_s_7.jpg'],0,0
purple,"['kettle_rot_s_9.jpg', 'kettle_rot_s_7.jpg', 'kettle_rot_s_5.jpg', 'kettle_rot_s_1.jpg', 'kettle_rot_s_3.jpg']",['kettle_rot_s_5.jpg'],0,0
yellow,"['kettle_rot_s_9.jpg', 'kettle_rot_s_7.jpg', 'kettle_rot_s_5.jpg', 'kettle_rot_s_1.jpg', 'kettle_rot_s_3.jpg']",['kettle_rot_s_1.jpg'],0,1
red,"['kettle_rot_s_9.jpg', 'kettle_rot_s_7.jpg', 'kettle_rot_s_5.jpg', 'kettle_rot_s_1.jpg', 'kettle_rot_s_3.jpg']",['kettle_rot_s_3.jpg'],0,0
pink,"['kettle_rot_s_9.jpg', 'kettle_rot_s_7.jpg', 'kettle_rot_s_5.jpg', 'kettle_rot_s_1.jpg', 'kettle_rot_s_3.jpg']",['kettle_rot_s_3.jpg'],0,0
blue,"['sugar_bowl_rot_s_9.jpg', 'sugar_bowl_rot_s_7.jpg', 'sugar_bowl_rot_s_5.jpg', 'sugar_bowl_rot_s_1.jpg', 'sugar_bowl_rot_s_3.jpg']","['sugar_bowl_rot_s_9.jpg', 'sugar_bowl_rot_s_7.jpg']",0,0
red,"['sugar_bowl_rot_s_9.jpg', 'sugar_bowl_rot_s_7.jpg', 'sugar_bowl_rot_s_5.jpg', 'sugar_bowl_rot_s_1.jpg', 'sugar_bowl_rot_s_3.jpg']",['sugar_bowl_rot_s_5.jpg'],0,0
pink,"['sugar_bowl_rot_s_9.jpg', 'sugar_bowl_rot_s_7.jpg', 'sugar_bowl_rot_s_5.jpg', 'sugar_bowl_rot_s_1.jpg', 'sugar_bowl_rot_s_3.jpg']",['sugar_bowl_rot_s_5.jpg'],0,0
green,"['sugar_bowl_rot_s_9.jpg', 'sugar_bowl_rot_s_7.jpg', 'sugar_bowl_rot_s_5.jpg', 'sugar_bowl_rot_s_1.jpg', 'sugar_bowl_rot_s_3.jpg']","['sugar_bowl_rot_s_1.jpg', 'sugar_bowl_rot_s_3.jpg']",0,1
yellow,"['sugar_bowl_rot_s_9.jpg', 'sugar_bowl_rot_s_7.jpg', 'sugar_bowl_rot_s_5.jpg', 'sugar_bowl_rot_s_1.jpg', 'sugar_bowl_rot_s_3.jpg']",['sugar_bowl_rot_s_3.jpg'],0,0
red,"['watch_rot_s_9.jpg', 'watch_rot_s_5.jpg', 'watch_rot_s_1.jpg', 'watch_rot_s_3.jpg']",['watch_rot_s_9.jpg'],0,0
yellow,"['watch_rot_s_9.jpg', 'watch_rot_s_5.jpg', 'watch_rot_s_1.jpg', 'watch_rot_s_3.jpg']",['watch_rot_s_5.jpg'],0,0
green,"['watch_rot_s_9.jpg', 'watch_rot_s_5.jpg', 'watch_rot_s_1.jpg', 'watch_rot_s_3.jpg']",['watch_rot_s_5.jpg'],0,1
blue,"['watch_rot_s_9.jpg', 'watch_rot_s_5.jpg', 'watch_rot_s_1.jpg', 'watch_rot_s_3.jpg']","['watch_rot_s_1.jpg', 'watch_rot_s_3.jpg']",0,1
red,"['usb_key_rot_s_10.jpg', 'usb_key_rot_s_6.jpg', 'usb_key_rot_s_4.jpg', 'usb_key_rot_s_2.jpg']",['usb_key_rot_s_10.jpg'],0,0
yellow,"['usb_key_rot_s_10.jpg', 'usb_key_rot_s_6.jpg', 'usb_key_rot_s_4.jpg', 'usb_key_rot_s_2.jpg']",['usb_key_rot_s_6.jpg'],0,0
green,"['usb_key_rot_s_10.jpg', 'usb_key_rot_s_6.jpg', 'usb_key_rot_s_4.jpg', 'usb_key_rot_s_2.jpg']",['usb_key_rot_s_6.jpg'],0,0
blue,"['usb_key_rot_s_10.jpg', 'usb_key_rot_s_6.jpg', 'usb_key_rot_s_4.jpg', 'usb_key_rot_s_2.jpg']","['usb_key_rot_s_4.jpg', 'usb_key_rot_s_2.jpg']",0,0
green,"['nailpolish_rot_s_10.jpg', 'nailpolish_rot_s_6.jpg', 'nailpolish_rot_s_4.jpg', 'nailpolish_rot_s_2.jpg', 'nailpolish_rot_s_8.jpg']",['nailpolish_rot_s_10.jpg'],0,1
blue,"['nailpolish_rot_s_10.jpg', 'nailpolish_rot_s_6.jpg', 'nailpolish_rot_s_4.jpg', 'nailpolish_rot_s_2.jpg', 'nailpolish_rot_s_8.jpg']",['nailpolish_rot_s_6.jpg'],0,0
purple,"['nailpolish_rot_s_10.jpg', 'nailpolish_rot_s_6.jpg', 'nailpolish_rot_s_4.jpg', 'nailpolish_rot_s_2.jpg', 'nailpolish_rot_s_8.jpg']",['nailpolish_rot_s_4.jpg'],0,0
pink,"['nailpolish_rot_s_10.jpg', 'nailpolish_rot_s_6.jpg', 'nailpolish_rot_s_4.jpg', 'nailpolish_rot_s_2.jpg', 'nailpolish_rot_s_8.jpg']",['nailpolish_rot_s_2.jpg'],0,0
yellow,"['nailpolish_rot_s_10.jpg', 'nailpolish_rot_s_6.jpg', 'nailpolish_rot_s_4.jpg', 'nailpolish_rot_s_2.jpg', 'nailpolish_rot_s_8.jpg']",['nailpolish_rot_s_8.jpg'],0,0
green,"['towel_rot_s_9.jpg', 'towel_rot_s_5.jpg', 'towel_rot_s_7.jpg']","['towel_rot_s_9.jpg', 'towel_rot_s_7.jpg']",0,1
blue,"['towel_rot_s_9.jpg', 'towel_rot_s_5.jpg', 'towel_rot_s_7.jpg']",['towel_rot_s_5.jpg'],0,1
purple,"['hand_puppet_rot_s_9.jpg', 'hand_puppet_rot_s_5.jpg', 'hand_puppet_rot_s_7.jpg', 'hand_puppet_rot_s_3.jpg', 'hand_puppet_rot_s_1.jpg']",['hand_puppet_rot_s_9.jpg'],0,1
pink,"['hand_puppet_rot_s_9.jpg', 'hand_puppet_rot_s_5.jpg', 'hand_puppet_rot_s_7.jpg', 'hand_puppet_rot_s_3.jpg', 'hand_puppet_rot_s_1.jpg']",['hand_puppet_rot_s_5.jpg'],0,0
blue,"['hand_puppet_rot_s_9.jpg', 'hand_puppet_rot_s_5.jpg', 'hand_puppet_rot_s_7.jpg', 'hand_puppet_rot_s_3.jpg', 'hand_puppet_rot_s_1.jpg']",['hand_puppet_rot_s_7.jpg'],0,0
yellow,"['hand_puppet_rot_s_9.jpg', 'hand_puppet_rot_s_5.jpg', 'hand_puppet_rot_s_7.jpg', 'hand_puppet_rot_s_3.jpg', 'hand_puppet_rot_s_1.jpg']",['hand_puppet_rot_s_3.jpg'],0,0
green,"['hand_puppet_rot_s_9.jpg', 'hand_puppet_rot_s_5.jpg', 'hand_puppet_rot_s_7.jpg', 'hand_puppet_rot_s_3.jpg', 'hand_puppet_rot_s_1.jpg']","['hand_puppet_rot_s_3.jpg', 'hand_puppet_rot_s_1.jpg']",0,1
red,"['accordion_rot_s_8.jpg', 'accordion_rot_s_10.jpg', 'accordion_rot_s_6.jpg', 'accordion_rot_s_2.jpg']",['accordion_rot_s_8.jpg'],0,0
brown,"['accordion_rot_s_8.jpg', 'accordion_rot_s_10.jpg', 'accordion_rot_s_6.jpg', 'accordion_rot_s_2.jpg']",['accordion_rot_s_8.jpg'],0,0
yellow,"['accordion_rot_s_8.jpg', 'accordion_rot_s_10.jpg', 'accordion_rot_s_6.jpg', 'accordion_rot_s_2.jpg']",['accordion_rot_s_10.jpg'],0,0
green,"['accordion_rot_s_8.jpg', 'accordion_rot_s_10.jpg', 'accordion_rot_s_6.jpg', 'accordion_rot_s_2.jpg']","['accordion_rot_s_10.jpg', 'accordion_rot_s_6.jpg']",0,1
purple,"['accordion_rot_s_8.jpg', 'accordion_rot_s_10.jpg', 'accordion_rot_s_6.jpg', 'accordion_rot_s_2.jpg']",['accordion_rot_s_2.jpg'],0,0
purple,"['flask_rot_s_9.jpg', 'flask_rot_s_5.jpg', 'flask_rot_s_7.jpg', 'flask_rot_s_3.jpg', 'flask_rot_s_1.jpg']",['flask_rot_s_9.jpg'],0,0
red,"['flask_rot_s_9.jpg', 'flask_rot_s_5.jpg', 'flask_rot_s_7.jpg', 'flask_rot_s_3.jpg', 'flask_rot_s_1.jpg']",['flask_rot_s_5.jpg'],0,1
blue,"['flask_rot_s_9.jpg', 'flask_rot_s_5.jpg', 'flask_rot_s_7.jpg', 'flask_rot_s_3.jpg', 'flask_rot_s_1.jpg']",['flask_rot_s_7.jpg'],0,0
green,"['flask_rot_s_9.jpg', 'flask_rot_s_5.jpg', 'flask_rot_s_7.jpg', 'flask_rot_s_3.jpg', 'flask_rot_s_1.jpg']","['flask_rot_s_3.jpg', 'flask_rot_s_1.jpg']",0,1
yellow,"['scanner_rot_s_8.jpg', 'scanner_rot_s_10.jpg', 'scanner_rot_s_6.jpg', 'scanner_rot_s_2.jpg']",['scanner_rot_s_8.jpg'],0,0
green,"['scanner_rot_s_8.jpg', 'scanner_rot_s_10.jpg', 'scanner_rot_s_6.jpg', 'scanner_rot_s_2.jpg']",['scanner_rot_s_10.jpg'],0,0
blue,"['scanner_rot_s_8.jpg', 'scanner_rot_s_10.jpg', 'scanner_rot_s_6.jpg', 'scanner_rot_s_2.jpg']",['scanner_rot_s_6.jpg'],0,0
red,"['scanner_rot_s_8.jpg', 'scanner_rot_s_10.jpg', 'scanner_rot_s_6.jpg', 'scanner_rot_s_2.jpg']",['scanner_rot_s_2.jpg'],0,0
yellow,"['jacket_rot_s_10.jpg', 'jacket_rot_s_8.jpg', 'jacket_rot_s_4.jpg', 'jacket_rot_s_6.jpg', 'jacket_rot_s_2.jpg']",['jacket_rot_s_10.jpg'],0,0
